Name 	Title 	Level 	Location 	Offers
Vance Undergloom 	Enchanter 	15 	Gallow's End Tavern, Brill 	-
Brock Stoneseeker 	Mining Trainer 	15 	Loch Modan, Thelsamar 	-
Whaldak Darbenk 	Spider Trainer 	50 	Loch Modan, Loch Modan 	-
Yaw Sharpmane 	Hunter Trainer 	11 	Mulgore, Bloodhoof Village 	-
Vira Younghoof 	First Aid Trainer 	13 	Mulgore, Bloodhoof Village 	-
Pyall Silentstride 	Cook 	12 	Mulgore, Bloodhoof Village 	-
Chaw Stronghide 	Leatherworker 	9 	Mulgore, Bloodhoof Village 	-
Yonn Deepcut 	Skinner 	8 	Mulgore, Bloodhoof Village 	-
Komin Winterhoof 	Herbalism Trainer 	35 	Mulgore, Thunder Bluff 	-
Teg Dawnstrider 	Enchanting Trainer 	35 	Mulgore, Thunder Bluff 	-
Aska Mistrunner 	Cooking Trainer 	45 	Mulgore, Thunder Bluff 	-
Kah Mistrunner 	Fishing Trainer 	45 	Mulgore, Thunder Bluff 	-
Kym Wildmane 	Druid Trainer 	40 	Mulgore, Elder Rise 	-
Sheal Runetotem 	Druid Trainer 	60 	Mulgore, Elder Rise 	-
Turak Runetotem 	Druid Trainer 	50 	Mulgore, Elder Rise 	-
Thotar 	Hunter Trainer 	16 	, Razor Hill 	-
Kaplak 	Rogue Trainer 	14 	, Razor Hill 	-
Rawrk 	First Aid Trainer 	15 	Razor Hill Barracks, Razor Hill 	-
Swart 	Shaman Trainer 	15 	Razor Hill Barracks, Razor Hill 	-
Tarshaw Jaggedscar 	Warrior Trainer 	43 	Razor Hill Barracks, Razor Hill 	-
Tursk 	Crawler Trainer 	50 	Durotar, Razor Hill 	-
Grokor 	Boar Trainer 	50 	Durotar, Orgrimmar 	-
Thuul 	Portal Trainer 	45 	, Cleft of Shadow 	-
Ander Germaine 	Warrior Trainer 	60 	Stormwind City, Stormwind City 	-
Stephen Ryback 	Cooking Trainer 	35 	Stormwind City, Stormwind City 	-
Lenny 		35 	Stormwind City, Old Town 	-
Osborne the Night Man 	Rogue Trainer 	60 	Stormwind City, Old Town 	-
Ilsa Corbin 	Warrior Trainer 	40 	Stormwind City, Stormwind City 	-
Wu Shen 	Warrior Trainer 	50 	Stormwind City, Stormwind City 	-
Simon Tanner 	Leatherworking Trainer 	35 	Stormwind City, Stormwind City 	-
Maris Granger 	Skinning Trainer 	35 	Stormwind City, Stormwind City 	-
Therum Deepforge 	Blacksmithing Trainer 	35 	Stormwind City, Dwarven District 	-
Strumner Flintheel 	Raptor Trainer 	40 	Stormwind City, Dwarven District 	-
Matthew Hooper 	Fishing Trainer 	10 	Redridge Mountains, Lakeshire 	-
Alma Jainrose 	Herbalism Trainer 	20 	Redridge Mountains, Lakeshire 	-
Crystal Boughman 	Cooking Trainer 	22 	, Lakeshire 	-
Randal Hunter 	Horse Riding Instructor 	10 	Elwynn Forest, Eastvale Logging Camp 	-
Lanie Reed 	Spider Trainer 	50 	Elwynn Forest, Eastvale Logging Camp 	-
Aldric Hunter 	Bear Trainer 	50 	Elwynn Forest, Forest's Edge 	-
Jaxin Chong 	Superior Alchemist 	46 	, Booty Bay 	-
Flora Silverwind 	Superior Herbalist 	44 	, Booty Bay 	-
Grarnik Goodstitch 	Tailor 	43 	, Booty Bay 	-
Xizk Goodstitch 	Superior Tailor 	43 	, Booty Bay 	-
Rikqiz 	Superior Leatherworker 	43 	, Booty Bay 	-
Brikk Keencraft 	Superior Blacksmith 	45 	, Booty Bay 	-
Bowen Brisboise 	Tailoring Trainer 	12 	The Undercity, Cold Hearth Manor 	-
Johan Focht 	Miner 	18 	Crypt, The Sepulcher 	-
Guillaume Sorouy 	Blacksmith 	19 	Crypt, The Sepulcher 	-
Mary Edras 	First Aid Trainer 	35 	The Undercity, Rogues' Quarter 	-
Arthur Moore 	Leatherworking Trainer 	35 	The Undercity, Rogues' Quarter 	-
Graham Van Talen 	Engineering Trainer 	35 	The Undercity, Rogues' Quarter 	-
Lucian Fenner 	Lockpicking Trainer 	35 	The Undercity, Rogues' Quarter 	-
Carolyn Ward 	Rogue Trainer 	40 	The Undercity, Ruins of Lordaeron 	-
Miles Dexter 	Rogue Trainer 	50 	The Undercity, Ruins of Lordaeron 	-
Gregory Charles 	Rogue Trainer 	60 	The Undercity, Ruins of Lordaeron 	-
Doctor Marsh 	Alchemy Trainer 	35 	The Undercity, The Apothecarium 	-
Father Lazarus 	Priest Trainer 	50 	The Undercity, War Quarter 	-
Baltus Fowler 	Warrior Trainer 	40 	The Undercity, Ruins of Lordaeron 	-
Angela Curthas 	Warrior Trainer 	50 	The Undercity, Ruins of Lordaeron 	-
Christoph Walker 	Warrior Trainer 	60 	The Undercity, Ruins of Lordaeron 	-
Brom Killian 	Mining Trainer 	35 	The Undercity, War Quarter 	-
James Van Brunt 	Blacksmithing Trainer 	35 	The Undercity, War Quarter 	-
Josef Gregorian 	Tailoring Trainer 	35 	The Undercity, Magic Quarter 	-
Luther Pickman 	Warlock Trainer 	50 	The Undercity, Ruins of Lordaeron 	-
Kaal Soulreaper 	Warlock Trainer 	60 	The Undercity, Ruins of Lordaeron 	-
Martha Strain 	Demon Pet Trainer 	20 	The Undercity, Ruins of Lordaeron 	-
Kaelystia Hatebringer 	Mage Trainer 	60 	The Undercity, Ruins of Lordaeron 	-
Pierce Shackleton 	Mage Trainer 	50 	The Undercity, Ruins of Lordaeron 	-
Anastasia Hartwell 	Mage Trainer 	40 	The Undercity, Magic Quarter 	-
Lexington Mortaim 	Portal Trainer 	35 	The Undercity, Magic Quarter 	-
Richard Kerwin 	Warlock Trainer 	40 	The Undercity, Magic Quarter 	-
Susan Tillinghast 	Survival Trainer 	35 	The Undercity, Rogues' Quarter 	-
Alma Jainrose 	Herbalism Trainer 	20 	Redridge Mountains, Lakeshire 	-
Maximillian Crowe 	Warlock Trainer 	10 	Lion's Pride Inn, Goldshire 	-
Cylina Darkheart 	Imp Trainer 	11 	Lion's Pride Inn, Goldshire 	-
Zaldimar Wefhellt 	Mage Trainer 	13 	Lion's Pride Inn, Goldshire 	-
Priestess Josetta 	Priest Trainer 	13 	Lion's Pride Inn, Goldshire 	-
Michelle Belle 	Physician 	11 	Lion's Pride Inn, Goldshire 	-
Keryn Sylvius 	Rogue Trainer 	11 	Lion's Pride Inn, Goldshire 	-
Brother Wilhelm 	Paladin Trainer 	11 	Elwynn Forest, Goldshire 	-
Lyria Du Lac 	Warrior Trainer 	12 	Elwynn Forest, Goldshire 	-
Sheri Zipstitch 	Tailor 	31 	, Darkshire 	-
Clarise Gnarltree 	Blacksmithing Trainer 	30 	, Darkshire 	-
Finbus Geargrind 	Engineer 	30 	, Darkshire 	-
