Entry : 2457 | Name : John Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 94 | Name : Defias Cutpurse | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3937 | Name : Kira Songshine | Subname : Traveling Baker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 525 | Name : Mangy Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 299 | Name : Young Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 620 | Name : Chicken | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 795 | Name : Mark | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 797 | Name : Bo | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 796 | Name : Joshua | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 927 | Name : Brother Wilhelm | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 913 | Name : Lyria Du Lac | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 514 | Name : Smith Argus | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2046 | Name : Andrew Krighton | Subname : Armorer & Shieldcrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 54 | Name : Corina Steele | Subname : Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 74 | Name : Kurran Steele | Subname : Clothier & Leathercrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 328 | Name : Zaldimar Wefhellt | Subname : Mage Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 66 | Name : Tharynn Bouden | Subname : Trade Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 241 | Name : Remy "Two Times" | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5406 | Name : Palomino | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 5403 | Name : White Stallion | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 2329 | Name : Michelle Belle | Subname : Physician | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 377 | Name : Priestess Josetta | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 253 | Name : William Pestle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 240 | Name : Marshal Dughan | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 416 | Name : Imp | Subname :  | Type: 3 | Static Flags : 1048582 | Beast Family : 23
Entry : 6121 | Name : Remen Marcot | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6374 | Name : Cylina Darkheart | Subname : Imp Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 906 | Name : Maximillian Crowe | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1430 | Name : Tomas | Subname : Cook | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2942 | Name : Dylan Bissel | Subname : Wolf Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6778 | Name : Melika Isenstrider | Subname : Assistant Innkeeper | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6749 | Name : Innkeeper Erma | Subname : Innkeeper | Type: 7 | Static Flags : 100 | Beast Family : 0
Entry : 5449 | Name : Tamed Wolf | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 1
Entry : 295 | Name : Farley | Subname :  | Type: 7 | Static Flags : 100 | Beast Family : 0
Entry : 465 | Name : Barkeep Dobbins | Subname : Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 917 | Name : Keryn Sylvius | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 151 | Name : Brog Hamfist | Subname : General Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3935 | Name : Toddrick | Subname : Butcher | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 113 | Name : Stonetusk Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1933 | Name : Sheep | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 476 | Name : Kobold Geomancer | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 40 | Name : Kobold Miner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 327 | Name : Goldtooth | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 524 | Name : Rockhide Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 475 | Name : Kobold Tunneler | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 822 | Name : Young Forest Bear | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 248 | Name : Gramma Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 244 | Name : Ma Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 246 | Name : "Auntie" Bernice Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 894 | Name : Homer Stonefield | Subname : Fruit Seller | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 794 | Name : Matt | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 97 | Name : Riverpaw Runt | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 119 | Name : Longsnout | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 2938 | Name : Aldric Hunter | Subname : Bear Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 963 | Name : Deputy Rainer | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5433 | Name : Tamed Bear | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 4
Entry : 478 | Name : Riverpaw Outrunner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 237 | Name : Farmer Furlbrow | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 238 | Name : Verna Furlbrow | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 582 | Name : Old Blanchy | Subname :  | Type: 8 | Static Flags : 102 | Beast Family : 0
Entry : 480 | Name : Rusty Harvest Golem | Subname :  | Type: 9 | Static Flags : 0 | Beast Family : 0
Entry : 834 | Name : Coyote | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 481 | Name : Defias Footpad | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 199 | Name : Young Fleshripper | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 7
Entry : 2914 | Name : Snake | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 454 | Name : Young Goretusk | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 117 | Name : Riverpaw Gnoll | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 500 | Name : Riverpaw Scout | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 515 | Name : Murloc Raider | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 126 | Name : Murloc Coastrunner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 6491 | Name : Spirit Healer | Subname :  | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 1860 | Name : Voidwalker | Subname :  | Type: 3 | Static Flags : 6 | Beast Family : 16
Entry : 1863 | Name : Succubus | Subname :  | Type: 3 | Static Flags : 0 | Beast Family : 17
Entry : 235 | Name : Salma Saldean | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 233 | Name : Farmer Saldean | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 114 | Name : Harvest Watcher | Subname :  | Type: 9 | Static Flags : 0 | Beast Family : 0
Entry : 36 | Name : Harvest Golem | Subname :  | Type: 9 | Static Flags : 0 | Beast Family : 0
Entry : 869 | Name : Protector Dorana | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 833 | Name : Coyote Packleader | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 1109 | Name : Fleshripper | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 7
Entry : 2620 | Name : Prairie Dog | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 489 | Name : Protector Dutfield | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 491 | Name : Quartermaster Lewis | Subname : Quartermaster | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 820 | Name : Scout Riell | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 488 | Name : Protector Weaver | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 821 | Name : Captain Danuvin | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 234 | Name : Gryan Stoutmantle | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 490 | Name : Protector Gariel | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 487 | Name : Protector Bialon | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 467 | Name : The Defias Traitor | Subname :  | Type: 7 | Static Flags : 38 | Beast Family : 0
Entry : 842 | Name : Lumberjack | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 523 | Name : Thor | Subname : Gryphon Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 547 | Name : Great Goretusk | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 876 | Name : Protector Leick | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1670 | Name : Mike Miller | Subname : Bread Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1668 | Name : William MacGregor | Subname : Bowyer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 843 | Name : Gina MacGregor | Subname : Trade Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 870 | Name : Protector Deni | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 6670 | Name : Westfall Woodworker | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 878 | Name : Scout Galiaan | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 589 | Name : Defias Pillager | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 832 | Name : Dust Devil | Subname :  | Type: 4 | Static Flags : 0 | Beast Family : 0
Entry : 565 | Name : Rabid Dire Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 213 | Name : Starving Dire Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 448 | Name : Hogger | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 252 | Name : Tommy Joe Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 116 | Name : Defias Bandit | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 395 | Name : Markus | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 474 | Name : Defias Rogue Wizard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 6271 | Name : Mouse | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 157 | Name : Goretusk | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 874 | Name : Protector Korelor | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 154 | Name : Greater Fleshripper | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 7
Entry : 502 | Name : Benny Blaanco | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 95 | Name : Defias Smuggler | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 504 | Name : Defias Trapper | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 590 | Name : Defias Looter | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1236 | Name : Kobold Digger | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 539 | Name : Pygmy Venom Web Spider | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 3520 | Name : Ol' Emma | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2533 | Name : William | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 2532 | Name : Donna | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 2198 | Name : Crier Goodman | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1472 | Name : Morgg Stormshot | Subname : Swordsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1646 | Name : Baros Alexston | Subname : City Architect | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5413 | Name : Furen Longbeard | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5510 | Name : Thulman Flintcrag | Subname : Guns Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5511 | Name : Therum Deepforge | Subname : Blacksmithing Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5512 | Name : Kaita Deepforge | Subname : Blacksmithing Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5514 | Name : Brooke Stonebraid | Subname : Mining Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5513 | Name : Gelman Stonehand | Subname : Mining Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5508 | Name : Strumner Flintheel | Subname : Raptor Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5444 | Name : Tamed Raptor | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 11
Entry : 1416 | Name : Grimand Elmore | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5509 | Name : Kathrum Axehand | Subname : Axe Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1351 | Name : Brother Cassius | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2327 | Name : Shaina Fuller | Subname : First Aid Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1182 | Name : Brother Anton | Subname : Scarlet Crusade Emissary | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1444 | Name : Brother Kristoff | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1350 | Name : Theresa Moulaine | Subname : Robe Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1349 | Name : Agustus Moulaine | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1405 | Name : Morris Lawry | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5493 | Name : Arnold Leland | Subname : Fishing Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5494 | Name : Catherine Leland | Subname : Fishing Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6237 | Name : Stockade Archer | Subname :  | Type: 7 | Static Flags : 256 | Beast Family : 0
Entry : 4996 | Name : Injured Stockade Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5042 | Name : Nurse Lillian | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4995 | Name : Stockade Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1719 | Name : Warden Thelwater | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5043 | Name : Defias Rioter | Subname :  | Type: 7 | Static Flags : 6 | Beast Family : 0
Entry : 1368 | Name : Justin | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1370 | Name : Brandon | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1371 | Name : Roman | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1348 | Name : Gregory Ardus | Subname : Mace Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5501 | Name : Kaerbrus | Subname : Survival Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5491 | Name : Arthur the Faithful | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 928 | Name : Lord Grayson Shadowbreaker | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5492 | Name : Katherine the Pure | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6171 | Name : Duthorian Rall | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5484 | Name : Brother Benjamin | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1319 | Name : Bryan Cross | Subname : Shield Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1339 | Name : Mayda Thane | Subname : Cobbler | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1333 | Name : Gerik Koen | Subname : Two Handed Weapon Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1756 | Name : Stormwind Royal Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2795 | Name : Lenny "Fingers" McCoy | Subname : Lockpicking Trainer | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1320 | Name : Seoman Griffith | Subname : Leather Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1321 | Name : Alyssa Griffith | Subname : Bag Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1478 | Name : Aedis Brom | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1477 | Name : Christoph Faral | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1292 | Name : Maris Granger | Subname : Skinning Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5564 | Name : Simon Tanner | Subname : Leatherworking Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1395 | Name : Ol' Beasley | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5565 | Name : Jillian Tanner | Subname : Leatherworking Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1367 | Name : Billy | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1366 | Name : Adam | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 4961 | Name : Dashel Stonefist | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 2673 | Name : Target Dummy | Subname :  | Type: 9 | Static Flags : 1057026 | Beast Family : 0
Entry : 2330 | Name : Karlee Chaddis | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3504 | Name : Gil | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2331 | Name : Paige Chaddis | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 338 | Name : Mazen Mac'Nadir | Subname : Academy of Arcane Arts and Sciences | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1318 | Name : Jessara Cordell | Subname : Enchanting Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1316 | Name : Adair Gilroy | Subname : Librarian | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1315 | Name : Allan Hafgan | Subname : Staves Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1317 | Name : Lucan Cordell | Subname : Enchanting Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1312 | Name : Ardwyn Cailen | Subname : Wand Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1347 | Name : Alexandra Bolero | Subname : Tailoring Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1314 | Name : Duncan Cullen | Subname : Light Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1346 | Name : Georgio Bolero | Subname : Tailoring Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5386 | Name : Acolyte Dellis | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1412 | Name : Squirrel | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 3627 | Name : Erich Lohan | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1715 | Name : Defias Insurgent | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1711 | Name : Defias Convict | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1708 | Name : Defias Inmate | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1706 | Name : Defias Prisoner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1707 | Name : Defias Captive | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1721 | Name : Nikova Raskol | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3626 | Name : Jenn Langston | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1323 | Name : Osric Strang | Subname : Heavy Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
