Entry : 252 | Name : Tommy Joe Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 524 | Name : Rockhide Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 116 | Name : Defias Bandit | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 285 | Name : Murloc | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 735 | Name : Murloc Streamrunner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1922 | Name : Grey Forest Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 46 | Name : Murloc Forager | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 390 | Name : Porcine Entourage | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 330 | Name : Princess | Subname :  | Type: 1 | Static Flags : 0 | Beast Family : 5
Entry : 473 | Name : Morgan the Collector | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 881 | Name : Surena Caledon | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 880 | Name : Erlan Drudgemoor | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1949 | Name : Servant of Azora | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1645 | Name : Quartermaster Hicks | Subname : Master Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 896 | Name : Veldan Lightfoot | Subname : Leathercrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1249 | Name : Quartermaster Hudson | Subname : Armorer & Shieldcrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 955 | Name : Sergeant De Vries | Subname : Morale Officer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 963 | Name : Deputy Rainer | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3937 | Name : Kira Songshine | Subname : Traveling Baker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 68 | Name : Stormwind City Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5917 | Name : Clara Charles | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 4959 | Name : Jorgen | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 466 | Name : General Marcus Jonathan | Subname : High Commander of Stormwind Defense | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1976 | Name : Stormwind City Patroller | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2455 | Name : Olivia Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 2456 | Name : Newton Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 2457 | Name : John Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 5193 | Name : Rebecca Laughlin | Subname : Tabard Vendor | Type: 7 | Static Flags : 65638 | Beast Family : 0
Entry : 482 | Name : Elling Trias | Subname : Master of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4974 | Name : Aldwin Laughlin | Subname : Guild Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4981 | Name : Ben Trias | Subname : Apprentice of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 483 | Name : Elaine Trias | Subname : Mistress of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4075 | Name : Rat | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 1433 | Name : Corbett Schneider | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1302 | Name : Bernard Gump | Subname : Florist | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1285 | Name : Thurman Mullby | Subname : General Goods Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 279 | Name : Morgan Pestle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1257 | Name : Keldric Boucher | Subname : Arcane Goods Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1432 | Name : Renato Gallina | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2334 | Name : Event Generator 001 | Subname :  | Type: 0 | Static Flags : 102 | Beast Family : 0
Entry : 1275 | Name : Kyra Boucher | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 352 | Name : Dungar Longdrink | Subname : Gryphon Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1303 | Name : Felicia Gump | Subname : Herbalism Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6174 | Name : Stephanie Turner | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1286 | Name : Edna Mullby | Subname : Trade Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1863 | Name : Succubus | Subname :  | Type: 3 | Static Flags : 0 | Beast Family : 17
Entry : 1289 | Name : Gunther Weller | Subname : Weapons Merchant | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 6740 | Name : Innkeeper Allison | Subname : Innkeeper | Type: 7 | Static Flags : 100 | Beast Family : 0
Entry : 1431 | Name : Suzetta Gallina | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 277 | Name : Roberto Pupellyverbos | Subname : Merlot Connoisseur | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3518 | Name : Thomas Miller | Subname : Baker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1287 | Name : Marda Weller | Subname : Weapons Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1301 | Name : Julia Gallina | Subname : Wine Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2198 | Name : Crier Goodman | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1291 | Name : Carla Granger | Subname : Cloth Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1427 | Name : Harlan Bagley | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1294 | Name : Aldric Moore | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1295 | Name : Lara Moore | Subname : Leather Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2330 | Name : Karlee Chaddis | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3504 | Name : Gil | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2331 | Name : Paige Chaddis | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1297 | Name : Lina Stover | Subname : Arrow Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1402 | Name : Topper McNabb | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1298 | Name : Frederick Stover | Subname : Bow & Arrow Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1299 | Name : Lisbeth Schneider | Subname : Clothier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1428 | Name : Rema Schneider | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2533 | Name : William | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 2532 | Name : Donna | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 5494 | Name : Catherine Leland | Subname : Fishing Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5493 | Name : Arnold Leland | Subname : Fishing Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1318 | Name : Jessara Cordell | Subname : Enchanting Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1317 | Name : Lucan Cordell | Subname : Enchanting Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1312 | Name : Ardwyn Cailen | Subname : Wand Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1315 | Name : Allan Hafgan | Subname : Staves Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1316 | Name : Adair Gilroy | Subname : Librarian | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 338 | Name : Mazen Mac'Nadir | Subname : Academy of Arcane Arts and Sciences | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4995 | Name : Stockade Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 4996 | Name : Injured Stockade Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1719 | Name : Warden Thelwater | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6237 | Name : Stockade Archer | Subname :  | Type: 7 | Static Flags : 256 | Beast Family : 0
Entry : 1346 | Name : Georgio Bolero | Subname : Tailoring Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1347 | Name : Alexandra Bolero | Subname : Tailoring Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5386 | Name : Acolyte Dellis | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1314 | Name : Duncan Cullen | Subname : Light Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1412 | Name : Squirrel | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 5042 | Name : Nurse Lillian | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1405 | Name : Morris Lawry | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1350 | Name : Theresa Moulaine | Subname : Robe Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1349 | Name : Agustus Moulaine | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1444 | Name : Brother Kristoff | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1646 | Name : Baros Alexston | Subname : City Architect | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5513 | Name : Gelman Stonehand | Subname : Mining Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5514 | Name : Brooke Stonebraid | Subname : Mining Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1472 | Name : Morgg Stormshot | Subname : Swordsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5512 | Name : Kaita Deepforge | Subname : Blacksmithing Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5413 | Name : Furen Longbeard | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5508 | Name : Strumner Flintheel | Subname : Raptor Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5510 | Name : Thulman Flintcrag | Subname : Guns Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5511 | Name : Therum Deepforge | Subname : Blacksmithing Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5444 | Name : Tamed Raptor | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 11
Entry : 1416 | Name : Grimand Elmore | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5509 | Name : Kathrum Axehand | Subname : Axe Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6579 | Name : Shoni the Shilent | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5515 | Name : Einris Brightspear | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5384 | Name : Brohann Caskbelly | Subname : Explorers' League | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5517 | Name : Thorfin Stoneshield | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5516 | Name : Ulfir Ironbeard | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 656 | Name : Wilder Thistlenettle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1756 | Name : Stormwind Royal Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2439 | Name : Major Samuelson | Subname : Stormwind City Guard | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5519 | Name : Billibub Cogspinner | Subname : Engineering Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5518 | Name : Lilliam Sparkspindle | Subname : Engineering Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1319 | Name : Bryan Cross | Subname : Shield Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2285 | Name : Count Remington Ridgewell | Subname : House of Nobles | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6090 | Name : Bartleby | Subname : Drunk | Type: 7 | Static Flags : 14 | Beast Family : 0
Entry : 1327 | Name : Reese Langston | Subname : Tavernkeeper | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1752 | Name : Caledra Dawnbreeze | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1439 | Name : Lord Baurles K. Wishock | Subname : House of Nobles | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4960 | Name : Bishop DeLavey | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1749 | Name : Lord Daval Prestor II | Subname :  | Type: 2 | Static Flags : 0 | Beast Family : 0
Entry : 1748 | Name : Highlord Bolvar Fordragon | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1747 | Name : King Anduin Wrynn | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1751 | Name : Mithras Ironhill | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1750 | Name : Grand Admiral Jes-Tereth | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1440 | Name : Milton Sheaf | Subname : Librarian | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1754 | Name : Lord Gregor Lescovar | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2504 | Name : Donyal Tovald | Subname : Librarian | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 340 | Name : Kendor Kabonka | Subname : Master of Cooking Recipes | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5482 | Name : Stephen Ryback | Subname : Cooking Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6089 | Name : Harry Burlguard | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5483 | Name : Erika Tate | Subname : Cooking Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3629 | Name : David Langston | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 914 | Name : Ander Germaine | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1478 | Name : Aedis Brom | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1477 | Name : Christoph Faral | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1328 | Name : Elly Langston | Subname : Barmaid | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1324 | Name : Heinrich Stone | Subname : Blade Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3626 | Name : Jenn Langston | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3512 | Name : Jimmy | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3513 | Name : Miss Danna | Subname : School Mistress | Type: 7 | Static Flags : 104 | Beast Family : 0
Entry : 3508 | Name : Mikey | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3509 | Name : Geoff | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3511 | Name : Steven | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3510 | Name : Twain | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3505 | Name : Pat | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 3507 | Name : Andi | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1339 | Name : Mayda Thane | Subname : Cobbler | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2795 | Name : Lenny "Fingers" McCoy | Subname : Lockpicking Trainer | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1333 | Name : Gerik Koen | Subname : Two Handed Weapon Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5564 | Name : Simon Tanner | Subname : Leatherworking Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5565 | Name : Jillian Tanner | Subname : Leatherworking Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1292 | Name : Maris Granger | Subname : Skinning Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1395 | Name : Ol' Beasley | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1320 | Name : Seoman Griffith | Subname : Leather Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1321 | Name : Alyssa Griffith | Subname : Bag Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4961 | Name : Dashel Stonefist | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1341 | Name : Wilhelm Strang | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1323 | Name : Osric Strang | Subname : Heavy Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5480 | Name : Ilsa Corbin | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5479 | Name : Wu Shen | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 918 | Name : Osborne the Night Man | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1721 | Name : Nikova Raskol | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3520 | Name : Ol' Emma | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1368 | Name : Justin | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1371 | Name : Roman | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1370 | Name : Brandon | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1413 | Name : Janey Anship | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1414 | Name : Lisan Pierce | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1415 | Name : Suzanne | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1351 | Name : Brother Cassius | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4982 | Name : Thomas | Subname : Altar Boy | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 5484 | Name : Brother Benjamin | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2327 | Name : Shaina Fuller | Subname : First Aid Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1182 | Name : Brother Anton | Subname : Scarlet Crusade Emissary | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1348 | Name : Gregory Ardus | Subname : Mace Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2673 | Name : Target Dummy | Subname :  | Type: 9 | Static Flags : 1057026 | Beast Family : 0
