Entry : 2289 | Name : Connor McCoy | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 285 | Name : Murloc | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 735 | Name : Murloc Streamrunner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1922 | Name : Grey Forest Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 1949 | Name : Servant of Azora | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 959 | Name : Morley Eberlein | Subname : Clothier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 313 | Name : Theocritus | Subname : Mage of Tower Azora | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 958 | Name : Dawn Brightstar | Subname : Arcane Goods | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 60 | Name : Ruklar the Trapper | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 383 | Name : Jason Mathers | Subname : Fishmonger | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1651 | Name : Lee Brown | Subname : Fisherman | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1632 | Name : Adele Fielder | Subname : Leatherworker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5404 | Name : Black Stallion | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 384 | Name : Katie Hunter | Subname : Horse Breeder | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 385 | Name : Horse | Subname :  | Type: 8 | Static Flags : 7 | Beast Family : 10
Entry : 5405 | Name : Pinto | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 4732 | Name : Randal Hunter | Subname : Horse Riding Instructor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 94 | Name : Defias Cutpurse | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 68 | Name : Stormwind City Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2290 | Name : Bertran Keldrake | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 4959 | Name : Jorgen | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 466 | Name : General Marcus Jonathan | Subname : High Commander of Stormwind Defense | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1976 | Name : Stormwind City Patroller | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2456 | Name : Newton Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 2455 | Name : Olivia Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 4974 | Name : Aldwin Laughlin | Subname : Guild Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 352 | Name : Dungar Longdrink | Subname : Gryphon Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1303 | Name : Felicia Gump | Subname : Herbalism Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1302 | Name : Bernard Gump | Subname : Florist | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4075 | Name : Rat | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 483 | Name : Elaine Trias | Subname : Mistress of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4981 | Name : Ben Trias | Subname : Apprentice of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 482 | Name : Elling Trias | Subname : Master of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2334 | Name : Event Generator 001 | Subname :  | Type: 0 | Static Flags : 102 | Beast Family : 0
Entry : 3518 | Name : Thomas Miller | Subname : Baker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2457 | Name : John Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 5193 | Name : Rebecca Laughlin | Subname : Tabard Vendor | Type: 7 | Static Flags : 65638 | Beast Family : 0
Entry : 279 | Name : Morgan Pestle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6174 | Name : Stephanie Turner | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1432 | Name : [PH] Renato Gallina | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1275 | Name : Kyra Boucher | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1286 | Name : Edna Mullby | Subname : Trade Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1285 | Name : Thurman Mullby | Subname : General Goods Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1257 | Name : Keldric Boucher | Subname : Arcane Goods Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1289 | Name : Gunther Weller | Subname : Weapons Merchant | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1431 | Name : Suzetta Gallina | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 277 | Name : Roberto Pupellyverbos | Subname : Merlot Connoisseur | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1301 | Name : Julia Gallina | Subname : Wine Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1287 | Name : Marda Weller | Subname : Weapons Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3520 | Name : Ol' Emma | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1427 | Name : Harlan Bagley | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1295 | Name : Lara Moore | Subname : Leather Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1294 | Name : Aldric Moore | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1291 | Name : Carla Granger | Subname : Cloth Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1402 | Name : Topper McNabb | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2533 | Name : Stormwind Boy | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 2532 | Name : Stormwind Girl | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1433 | Name : Corbett Schneider | Subname :  | Type: 0 | Static Flags : 0 | Beast Family : 0
Entry : 1646 | Name : Baros Alexston | Subname : City Architect | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1366 | Name : Adam | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1297 | Name : Lina Stover | Subname : Arrow Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1477 | Name : Christoph Faral | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1478 | Name : Aedis Brom | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1428 | Name : Rema Schneider | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1299 | Name : Lisbeth Schneider | Subname : Clothier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1298 | Name : Frederick Stover | Subname : Bow & Arrow Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1367 | Name : Billy | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2671 | Name : Mechanical Squirrel | Subname :  | Type: 9 | Static Flags : 1064966 | Beast Family : 0
Entry : 5494 | Name : Catherine Leland | Subname : Fishing Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5493 | Name : Arnold Leland | Subname : Fishing Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 338 | Name : Mazen Mac'Nadir - (Texture Set) | Subname : Academy of Arcane Arts and Sciences | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1318 | Name : Jessara Cordell | Subname : Enchanting Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1316 | Name : Adair Gilroy | Subname : Librarian | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1312 | Name : Ardwyn Cailen | Subname : Wand Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1315 | Name : Allan Hafgan | Subname : Staves Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1317 | Name : Lucan Cordell | Subname : Enchanting Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3505 | Name : Pat | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 3513 | Name : Christina | Subname : School Mistress | Type: 7 | Static Flags : 104 | Beast Family : 0
Entry : 3507 | Name : Andi | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 3509 | Name : Geoff | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3510 | Name : Twain | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3511 | Name : Steven | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3508 | Name : Mikey | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3512 | Name : Jimmy | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2330 | Name : Karlee Chaddis | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2331 | Name : Paige Chaddis | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3504 | Name : Gil | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5565 | Name : Jillian Tanner | Subname : Leatherworking Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1321 | Name : Alyssa Griffith | Subname : Bag Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5564 | Name : Simon Tanner | Subname : Leatherworking Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1319 | Name : Bryan Cross | Subname : Shield Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1320 | Name : Seoman Griffith | Subname : Leather Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1405 | Name : Morris Lawry | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 6237 | Name : Stockade Archer | Subname :  | Type: 7 | Static Flags : 256 | Beast Family : 0
Entry : 4996 | Name : Injured Stockade Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5042 | Name : Nurse Lillian | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4995 | Name : Stockade Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1719 | Name : Warden Thelwater | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5386 | Name : [PH] Acolyte Dellis | Subname : NEEDS MODEL | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2198 | Name : Crier Goodman | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1414 | Name : Lisan Pierce | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1413 | Name : Janey Anship | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1415 | Name : Suzanne | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1347 | Name : Alexandra Bolero | Subname : Tailoring Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1346 | Name : Georgio Bolero | Subname : Tailoring Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1314 | Name : Duncan Cullen | Subname : Light Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5566 | Name : Tannysa | Subname : Herbalism Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5499 | Name : Lilyssia Nightbreeze | Subname : Alchemy Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1313 | Name : Maria Lumere | Subname : Alchemy Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5503 | Name : Eldraeith | Subname : Herbalism Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1412 | Name : Squirrel | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 1429 | Name : Thurman Schneider | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1309 | Name : Wynne Larson | Subname : Robe Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1310 | Name : Evan Larson | Subname : Hatter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4078 | Name : Collin Mauren | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2708 | Name : Archmage Malin | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3627 | Name : Erich Lohan | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1311 | Name : Joachim Brenlow | Subname : Arcane Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3628 | Name : Steven Lohan | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1141 | Name : [PH] Angus Stern | Subname : Head Chef | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5694 | Name : [PH] High Sorcerer Andromath | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2485 | Name : Larimaine Purdue | Subname : Portal Trainer | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 331 | Name : Maginor Dumas | Subname : Master Mage | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 5497 | Name : Jennea Cannon | Subname : Mage Trainer | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 5498 | Name : Elsharin | Subname : Mage Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1308 | Name : Owen Vaughn | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5081 | Name : Connor Rivers | Subname : Apprentice Chef | Type: 7 | Static Flags : 108 | Beast Family : 0
Entry : 1307 | Name : Charys Yserian | Subname : Arcane Trinkets Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1419 | Name : Fizzles | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 0
Entry : 1305 | Name : Jarel Moor | Subname : Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1733 | Name : Zggi | Subname :  | Type: 3 | Static Flags : 102 | Beast Family : 0
Entry : 1435 | Name : Zardeth of the Black Claw | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5495 | Name : Ursula Deline | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5496 | Name : Sandahl | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 461 | Name : Demisette Cloyce | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6122 | Name : Gakin the Darkbinder | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5520 | Name : Spackle Thornberry | Subname : Demon Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 417 | Name : Felhunter | Subname :  | Type: 3 | Static Flags : 0 | Beast Family : 15
Entry : 1304 | Name : Darian Singh | Subname : Fireworks Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 297 | Name : Caretaker Folsom | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6267 | Name : Acolyte Porena | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1350 | Name : Theresa Moulaine | Subname : Robe Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1349 | Name : Agustus Moulaine | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1444 | Name : Brother Kristoff | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4982 | Name : Thomas | Subname : Altar Boy | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1351 | Name : Brother Cassius | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5491 | Name : Arthur the Faithful | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6171 | Name : Duthorian Rall | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1348 | Name : Gregory Ardus | Subname : Mace Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5492 | Name : Katherine the Pure | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 928 | Name : Lord Grayson Shadowbreaker | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6173 | Name : Gazin Tenorm | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1284 | Name : [PH] Archbishop Benedictus | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5489 | Name : Brother Joshua | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1182 | Name : Brother Anton | Subname : Scarlet Crusade Emissary | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2327 | Name : Shaina Fuller | Subname : First Aid Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1212 | Name : Bishop Farthing | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 376 | Name : High Priestess Laurena | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5484 | Name : Brother Benjamin | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1368 | Name : Justin | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1370 | Name : Brandon | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1371 | Name : Roman | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5501 | Name : Kaerbrus | Subname : Survival Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 118 | Name : Prowler | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 261 | Name : Guard Thomas | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 278 | Name : Sara Timberlain | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1103 | Name : Eldrin | Subname : Tailor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1649 | Name : Jordan Croft | Subname : Survivalist | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1975 | Name : Eastvale Lumberjack | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 799 | Name : Kevin | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 798 | Name : Solomon | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 802 | Name : Jay | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 801 | Name : Eric | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 800 | Name : Kyle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2941 | Name : Lanie Reed | Subname : Spider Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5446 | Name : Tamed Spider | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 3
Entry : 1198 | Name : Rallic Finn | Subname : Bowyer | Type: 7 | Static Flags : 102 | Beast Family : 0
