Entry : 2031 | Name : Young Nightsaber | Subname :  | Display Id : 11454 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 1998 | Name : Webwood Lurker | Subname :  | Display Id : 760 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 2150 | Name : Zenn Foulhoof | Subname :  | Display Id : 10035 | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3601 | Name : Dazalar | Subname : Hunter Trainer | Display Id : 1703 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2041 | Name : Ancient Protector | Subname :  | Display Id : 2429 | Type: 5 | Static Flags : 4194306 | Beast Family : 0
Entry : 10051 | Name : Seriadne | Subname : Stable Master | Display Id : 9270 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3612 | Name : Sinda | Subname : Leather Armor Merchant | Display Id : 1714 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3610 | Name : Jeena Featherbow | Subname : Bowyer | Display Id : 1705 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2081 | Name : Sentinel Kyra Starsong | Subname :  | Display Id : 1682 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3599 | Name : Jannok Breezesong | Subname : Rogue Trainer | Display Id : 1704 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3613 | Name : Meri Ironweave | Subname : Armorer & Shieldcrafter | Display Id : 1710 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3609 | Name : Shalomon | Subname : Weaponsmith | Display Id : 1712 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3598 | Name : Kyra Windblade | Subname : Warrior Trainer | Display Id : 1707 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2083 | Name : Syral Bladeleaf | Subname :  | Display Id : 2459 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2078 | Name : Athridas Bearmantle | Subname :  | Display Id : 1896 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3600 | Name : Laurna Morninglight | Subname : Priest Trainer | Display Id : 1708 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3608 | Name : Aldia | Subname : General Supplies | Display Id : 1700 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6781 | Name : Melarith | Subname :  | Display Id : 5749 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6736 | Name : Innkeeper Keldamyr | Subname : Innkeeper | Display Id : 5440 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3611 | Name : Brannol Eaglemoon | Subname : Clothier | Display Id : 1701 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3567 | Name : Tallonkai Swiftroot | Subname :  | Display Id : 2686 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3614 | Name : Narret Shadowgrove | Subname : Trade Supplies | Display Id : 1711 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6094 | Name : Byancie | Subname : First Aid Trainer | Display Id : 4862 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4266 | Name : Danlyia | Subname : Grocer | Display Id : 4235 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 1997 | Name : Strigid Hunter | Subname :  | Display Id : 10830 | Type: 1 | Static Flags : 16 | Beast Family : 26
Entry : 2151 | Name : Moon Priestess Amara | Subname :  | Display Id : 1681 | Type: 7 | Static Flags : 4194374 | Beast Family : 0
Entry : 6286 | Name : Zarrin | Subname : Cook | Display Id : 4989 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3515 | Name : Corithras Moonrage | Subname :  | Display Id : 1528 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3602 | Name : Kal | Subname : Druid Trainer | Display Id : 1706 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4265 | Name : Nyoma | Subname : Cooking Supplies | Display Id : 4236 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3604 | Name : Malorne Bladeleaf | Subname : Herbalist | Display Id : 1709 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3603 | Name : Cyndra Kindwhisper | Subname : Journeyman Alchemist | Display Id : 1702 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2022 | Name : Timberling | Subname :  | Display Id : 3033 | Type: 4 | Static Flags : 524288 | Beast Family : 0
Entry : 2080 | Name : Denalan | Subname :  | Display Id : 2484 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 1999 | Name : Webwood Venomfang | Subname :  | Display Id : 759 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 2043 | Name : Nightsaber Stalker | Subname :  | Display Id : 3030 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 1996 | Name : Strigid Screecher | Subname :  | Display Id : 4877 | Type: 1 | Static Flags : 16 | Beast Family : 26
Entry : 2009 | Name : Gnarlpine Shaman | Subname :  | Display Id : 897 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3569 | Name : Bogling | Subname :  | Display Id : 1081 | Type: 4 | Static Flags : 524288 | Beast Family : 0
Entry : 2107 | Name : Gaerolas Talvethren | Subname :  | Display Id : 1854 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 2006 | Name : Gnarlpine Ursa | Subname :  | Display Id : 6798 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2008 | Name : Gnarlpine Warrior | Subname :  | Display Id : 6800 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2007 | Name : Gnarlpine Gardener | Subname :  | Display Id : 6799 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 7235 | Name : Gnarlpine Mystic | Subname :  | Display Id : 6804 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 7234 | Name : Ferocitas the Dream Eater | Subname :  | Display Id : 1996 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2033 | Name : Elder Nightsaber | Subname :  | Display Id : 3031 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 2003 | Name : Shadow Sprite | Subname :  | Display Id : 6809 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 2002 | Name : Rascal Sprite | Subname :  | Display Id : 3023 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 2004 | Name : Dark Sprite | Subname :  | Display Id : 6810 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 2038 | Name : Lord Melenas | Subname :  | Display Id : 1013 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 2005 | Name : Vicious Grell | Subname :  | Display Id : 6811 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 2034 | Name : Feral Nightsaber | Subname :  | Display Id : 3029 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 2152 | Name : Gnarlpine Ambusher | Subname :  | Display Id : 3024 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2162 | Name : Agal | Subname :  | Display Id : 936 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2010 | Name : Gnarlpine Defender | Subname :  | Display Id : 6801 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2011 | Name : Gnarlpine Augur | Subname :  | Display Id : 3024 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 6287 | Name : Radnaal Maneweaver | Subname : Skinner | Display Id : 4990 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3605 | Name : Nadyia Maneweaver | Subname : Journeyman Leatherworker | Display Id : 1719 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2000 | Name : Webwood Silkspinner | Subname :  | Display Id : 1989 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 2155 | Name : Sentinel Shayla Nightbreeze | Subname :  | Display Id : 2866 | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4262 | Name : Darnassus Sentinel | Subname :  | Display Id : 2306 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 3681 | Name : Wisp | Subname :  | Display Id : 10045 | Type: 8 | Static Flags : 4194310 | Beast Family : 0
Entry : 1412 | Name : Squirrel | Subname :  | Display Id : 134 | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 4181 | Name : Fyrenna | Subname : Fruit Vendor | Display Id : 2230 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4241 | Name : Mydrannul | Subname : General Goods Vendor | Display Id : 2262 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 8665 | Name : Shylenai | Subname : Owl Trainer | Display Id : 7934 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4161 | Name : Lysheana | Subname : Guild Master | Display Id : 2216 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 5191 | Name : Shalumon | Subname : Tabard Vendor | Display Id : 3131 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3469 | Name : Ancient of War | Subname :  | Display Id : 1461 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 11081 | Name : Faldron | Subname : Expert Leatherworker | Display Id : 10616 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4168 | Name : Elynna | Subname : Tailoring Supplies | Display Id : 2214 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 11050 | Name : Trianna | Subname : Journeyman Tailor | Display Id : 10582 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4212 | Name : Telonis | Subname : Artisan Leatherworker | Display Id : 2270 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 11083 | Name : Darianna | Subname : Journeyman Leatherworker | Display Id : 10615 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6034 | Name : Lotherias | Subname :  | Display Id : 5186 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6735 | Name : Innkeeper Saelienne | Subname : Innkeeper | Display Id : 5439 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4225 | Name : Saenorion | Subname : Leatherworking Supplies | Display Id : 2265 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6292 | Name : Eladriel | Subname : Skinning Trainer | Display Id : 4985 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4159 | Name : Me'lynn | Subname : Expert Tailor | Display Id : 2213 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4229 | Name : Mythrin'dir | Subname : General Trade Supplier | Display Id : 2264 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4213 | Name : Taladan | Subname : Expert Enchanter | Display Id : 2266 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4228 | Name : Vaean | Subname : Enchanting Supplies | Display Id : 2274 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 11070 | Name : Lalina Summermoon | Subname : Journeyman Enchanter | Display Id : 10592 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 11041 | Name : Milla Fairancora | Subname : Journeyman Alchemist | Display Id : 10573 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 11042 | Name : Sylvanna Forestmoon | Subname : Expert Alchemist | Display Id : 10574 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4211 | Name : Dannelor | Subname : First Aid Trainer | Display Id : 2248 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4226 | Name : Ulthir | Subname : Alchemy Supplies | Display Id : 2272 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4160 | Name : Ainethil | Subname : Artisan Alchemist | Display Id : 10624 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4783 | Name : Dawnwatcher Selgorm | Subname : The Argent Dawn | Display Id : 5226 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4784 | Name : Argent Guard Manados | Subname : The Argent Dawn | Display Id : 5084 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3468 | Name : Ancient of Lore | Subname :  | Display Id : 1460 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 4786 | Name : Dawnwatcher Shaedlass | Subname : The Argent Dawn | Display Id : 5225 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4210 | Name : Alegorn | Subname : Cooking Trainer | Display Id : 2242 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4223 | Name : Fyldan | Subname : Cooking Supplier | Display Id : 2254 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4423 | Name : Darnassian Protector | Subname :  | Display Id : 2451 | Type: 4 | Static Flags : 4194306 | Beast Family : 0
Entry : 7315 | Name : Darnath Bladesinger | Subname :  | Display Id : 6071 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4087 | Name : Arias'ta Bladesinger | Subname : Warrior Trainer | Display Id : 2196 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4088 | Name : Elanaria | Subname :  | Display Id : 2197 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4167 | Name : Dendrythis | Subname : Fruit Vendor | Display Id : 2208 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4205 | Name : Dorion | Subname : Hunter Trainer | Display Id : 2251 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4244 | Name : Shadow | Subname : Dorion's Pet | Display Id : 780 | Type: 1 | Static Flags : 102 | Beast Family : 0
Entry : 4146 | Name : Jocaste | Subname : Hunter Trainer | Display Id : 2206 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10089 | Name : Silvaria | Subname : Pet Trainer | Display Id : 9339 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4242 | Name : Frostsaber Companion | Subname :  | Display Id : 9956 | Type: 1 | Static Flags : 0 | Beast Family : 0
Entry : 4753 | Name : Jartsam | Subname : Nightsaber Riding Instructor  | Display Id : 5070 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10056 | Name : Alassin | Subname : Stable Master | Display Id : 9275 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3517 | Name : Rellian Greenspyre | Subname :  | Display Id : 5071 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4730 | Name : Lelanai | Subname : Tiger Handler | Display Id : 2788 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4215 | Name : Anishar | Subname : Rogue Trainer | Display Id : 2243 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4163 | Name : Syurna | Subname : Rogue Trainer | Display Id : 2231 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3561 | Name : Kyrai | Subname : Poison Vendor | Display Id : 2233 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4214 | Name : Erion Shadewhisper | Subname : Rogue Trainer | Display Id : 2252 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2796 | Name : Faelyssa | Subname :  | Display Id : 2232 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4217 | Name : Mathrengyl Bearwalker | Subname : Druid Trainer | Display Id : 2261 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4220 | Name : Cyroen | Subname : Reagent Vendor | Display Id : 2247 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10298 | Name : Traelion Shadewhisper | Subname : Thrown Weapons Trainer | Display Id : 9826 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10297 | Name : Gerratys Nightrunner | Subname : Bow Trainer | Display Id : 9825 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4138 | Name : Jeen'ra Nightrunner | Subname : Hunter Trainer | Display Id : 2205 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4243 | Name : Nightshade | Subname : Jeen'ra's Pet | Display Id : 613 | Type: 1 | Static Flags : 102 | Beast Family : 0
Entry : 7296 | Name : Corand | Subname :  | Display Id : 6063 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 9047 | Name : Jenal | Subname : Ditch Digger | Display Id : 8354 | Type: 7 | Static Flags : 4194310 | Beast Family : 0
Entry : 3516 | Name : Arch Druid Fandral Staghelm | Subname :  | Display Id : 1542 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4219 | Name : Fylerian Nightwing | Subname : Druid Trainer | Display Id : 2255 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4218 | Name : Denatharion | Subname : Druid Trainer | Display Id : 2250 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 5782 | Name : Crildor | Subname :  | Display Id : 4271 | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 4208 | Name : Lairn | Subname : Banker | Display Id : 2259 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4155 | Name : Idriana | Subname : Banker | Display Id : 2210 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4209 | Name : Garryeth | Subname : Banker | Display Id : 2256 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3562 | Name : Alaindia | Subname : Reagent Vendor | Display Id : 2203 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10878 | Name : Herald Moonstalker | Subname :  | Display Id : 10185 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 4221 | Name : Talaelar | Subname : Fish Vendor | Display Id : 2267 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4222 | Name : Voloren | Subname : Fishing Supplier | Display Id : 2276 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4156 | Name : Astaia | Subname : Fishing Trainer | Display Id : 2211 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4204 | Name : Firodren Mooncaller | Subname : Herbalism Trainer | Display Id : 2253 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4165 | Name : Elissa Dumas | Subname : Portal Trainer | Display Id : 7669 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4090 | Name : Astarii Starseeker | Subname : Priest Trainer | Display Id : 2200 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 7999 | Name : Tyrande Whisperwind | Subname :  | Display Id : 7274 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 9579 | Name : Darnassus Talent Master | Subname : Talent Master | Display Id : 8765 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4091 | Name : Jandria | Subname : Priest Trainer | Display Id : 2201 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10295 | Name : Jennail Mooncaller | Subname : Staves Trainer | Display Id : 9823 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 7740 | Name : Gracina Spiritmight | Subname :  | Display Id : 6840 | Type: 7 | Static Flags : 138412038 | Beast Family : 0
Entry : 7313 | Name : Priestess A'moora | Subname :  | Display Id : 6348 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4092 | Name : Lariia | Subname : Priest Trainer | Display Id : 2202 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 8396 | Name : Sentinel Dalia Sunblade | Subname :  | Display Id : 7602 | Type: 7 | Static Flags : 4194374 | Beast Family : 0
Entry : 2912 | Name : Chief Archaeologist Greywhisker | Subname : Explorers' League | Display Id : 1665 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4216 | Name : Chardryn | Subname : Herbalism Supplier | Display Id : 2245 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4236 | Name : Cyridan | Subname : Leather Armor Merchant | Display Id : 2246 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4172 | Name : Anadyia | Subname : Robe Vendor | Display Id : 2220 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4177 | Name : Melea | Subname : Mail Armor Merchant | Display Id : 2226 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4240 | Name : Caynrus | Subname : Shield Merchant | Display Id : 2244 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4234 | Name : Andrus | Subname : Staff Merchant | Display Id : 2249 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4175 | Name : Vinasia | Subname : Cloth Armor Merchant | Display Id : 2224 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4180 | Name : Ealyshia Dewwhisper | Subname : Two Handed Weapon Merchant | Display Id : 2229 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4235 | Name : Turian | Subname : Thrown Weapons Merchant (Needs Merchant List) | Display Id : 2271 | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4173 | Name : Landria | Subname : Bow Merchant | Display Id : 2222 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4233 | Name : Mythidan | Subname : Mace & Staff Merchant | Display Id : 2263 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4231 | Name : Kieran | Subname : Weapon Merchant | Display Id : 2258 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4232 | Name : Glorandiir | Subname : Axe Merchant | Display Id : 2257 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4171 | Name : Merelyssa | Subname : Blade Merchant | Display Id : 2219 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4169 | Name : Jaeana | Subname : Meat Vendor | Display Id : 2217 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4230 | Name : Yldan | Subname : Bag Merchant | Display Id : 2277 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4170 | Name : Ellandrieth | Subname : General Goods Vendor | Display Id : 2218 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4164 | Name : Cylania | Subname : Night Elf Armorer (Needs Vendor List) | Display Id : 2199 | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 10292 | Name : Rombulus Frostmoon | Subname : Dagger Trainer | Display Id : 9820 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10294 | Name : Malakar Frostmoon | Subname : Fist Weapons Trainer | Display Id : 9824 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4203 | Name : Ariyell Skyshadow | Subname : Weapon Merchant | Display Id : 2221 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10293 | Name : Dulciea Frostmoon | Subname : Spear Trainer | Display Id : 9822 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6142 | Name : Mathiel | Subname :  | Display Id : 5083 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4089 | Name : Sildanair | Subname : Warrior Trainer | Display Id : 2198 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4521 | Name : Treshala Fallowbrook | Subname :  | Display Id : 9055 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2025 | Name : Timberling Bark Ripper | Subname :  | Display Id : 6817 | Type: 4 | Static Flags : 524288 | Beast Family : 0
